p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
1.58601305764901e-22	1.15383538166027	0.286	0.152	4.45019403845735e-18	g.TRINITY-GG-127-c80-g5-i1	Gast
2.66433614187710e-13	1.14641996644119	0.227	0.133	7.47586078049297e-09	g.TRINITY-GG-94-c338-g1-i2	Gast
1.80732202222562e-12	1.14195505406957	0.113	0.052	5.07116486216287e-08	g.TRINITY-GG-6-c696-g1-i11	Gast
7.06889873381682e-13	1.14075488301142	0.108	0.047	1.98346229572166e-08	g.TRINITY-GG-94-c744-g3-i1	Gast
7.48422422279496e-14	1.13836954526827	0.119	0.053	2.09999847467404e-09	g.TRINITY-GG-6-c890-g1-i3	Gast
2.66310834589733e-20	1.13675241850597	0.169	0.073	7.47241570775333e-16	g.TRINITY-GG-130-c255-g3-i1	Gast
4.01890737308533e-19	1.12957622373399	0.148	0.062	1.12766521981401e-14	g.TRINITY-GG-94-c295-g2-i4	Gast
2.68519371237269e-21	1.11442574304604	0.146	0.057	7.53438503754653e-17	g.TRINITY-GG-173-c209-g1-i3	Gast
5.12097836133693e-37	1.10579065297947	0.453	0.249	1.43689531840753e-32	g.TRINITY-GG-227-c403-g1-i11	Gast
2.35680031178207e-18	1.10244699480156	0.153	0.066	6.61294599482931e-14	g.TRINITY-GG-176-c13-g1-i4	Gast
1.62232214410317e-22	1.1016210045958	0.2	0.09	4.55207370413909e-18	g.TRINITY-GG-173-c350-g1-i21	Gast
1.71693233962448e-24	1.10061713945456	0.344	0.192	4.81754045175232e-20	g.TRINITY-GG-95-c34-g3-i1	Gast
2.68453198396142e-13	1.0972255439362	0.148	0.073	7.53252829379734e-09	g.TRINITY-GG-130-c587-g1-i4	Gast
4.02366142310353e-35	1.08828123892554	0.493	0.293	1.12899915870862e-30	g.TRINITY-GG-238-c204-g1-i4	Gast
1.81771466467396e-23	1.08074156951636	0.166	0.066	5.10032557760866e-19	g.TRINITY-GG-127-c1248-g4-i2	Gast
7.73875444251544e-12	1.07978336952803	0.11	0.05	2.17141710902541e-07	g.TRINITY-GG-95-c1474-g3-i1	Gast
8.21116416369421e-27	1.07791060894248	0.331	0.176	2.30397055269096e-22	g.TRINITY-GG-14-c4-g1-i27	Gast
