p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
0	7.39455867282386	0.315	0.002	0	Spis-XP-022781165-1	Spis
0	7.3713435376751	0.145	0.001	0	Spis-orphan-peak-13707	Spis
0	7.34953116763759	0.447	0.005	0	Spis-orphan-peak-12678	Spis
0	7.33620423094833	0.149	0.001	0	Spis-XP-022803821-1	Spis
0	7.31494030794003	0.758	0.034	0	Spis-XP-022796494-1	Spis
0	7.28306086981826	0.477	0.003	0	Spis-orphan-peak-3340	Spis
0	7.24351762886704	0.191	0.001	0	Spis-XP-022785469-1	Spis
0	7.18142814614334	0.215	0.001	0	Spis-XP-022803660-1	Spis
0	7.16931044251541	0.156	0.001	0	Spis-orphan-peak-6216	Spis
0	7.15522747399786	0.604	0.017	0	Spis-orphan-peak-14667	Spis
0	7.10868018645945	0.31	0.002	0	Spis-Spis10030-1	Spis
0	7.08713471455879	0.358	0.002	0	Spis-XP-022784146-1	Spis
0	7.07471850011942	0.151	0.001	0	Spis-XP-022805546-1	Spis
0	7.03837884294721	0.393	0.003	0	Spis-LOC111327222	Spis
1.4763972940309e-192	6.99990026054942	0.137	0.006	7.34522417753315e-188	Spis-XP-022777447-1	Spis
0	6.92602802442703	0.253	0.002	0	Spis-XP-022783199-1	Spis
0	6.79493566934665	0.529	0.006	0	Spis-XP-022807628-1	Spis
0	6.79163660464956	0.129	0.001	0	Spis-XP-022806021-1	Spis
0	6.77230761793183	0.148	0.001	0	Spis-XP-022786857-1	Spis
0	6.72141942841204	0.129	0.001	0	Spis-XP-022784100-1	Spis
0	6.71974056774337	0.442	0.005	0	Spis-XP-022794431-1	Spis
0	6.70415935342795	0.423	0.006	0	Spis-XP-022789665-1	Spis
5.43472210425371e-322	6.66407340492717	0.137	0.002	2.70382859408726e-317	Spis-XP-022801442-1	Spis
0	6.66267528296379	0.248	0.005	0	Spis-XP-022803869-1	Spis
0	6.63705005343479	0.148	0.002	0	Spis-LOC111333567	Spis
2.52837884469573e-288	6.63049138594206	0.11	0.001	1.25789375902457e-283	Spis-LOC111344848	Spis
0	6.59523479064659	0.17	0.002	0	Spis-orphan-peak-20848	Spis
0	6.59380627347111	0.224	0.008	0	Spis-LOC111344833	Spis
0	6.58028633099093	0.561	0.007	0	Spis-orphan-peak-12733	Spis
0	6.31633642137754	0.452	0.005	0	Spis-XP-022787092-1	Spis
0	6.30710379346391	0.289	0.006	0	Spis-XP-022787678-1	Spis
0	6.30240156147313	0.556	0.009	0	Spis-XP-022799060-1	Spis
0	6.23838679408877	0.512	0.01	0	Spis-XP-022797906-1	Spis
0	6.23294448619524	0.299	0.003	0	Spis-XP-022780928-1	Spis
0	5.95821082095843	0.243	0.004	0	Spis-LOC111341000	Spis
0	5.94717638216478	0.253	0.004	0	Spis-XP-022794883-1	Spis
0	5.93788943503599	0.176	0.003	0	Spis-XP-022783642-1	Spis
6.00437065731667e-226	5.89417722124515	0.114	0.003	2.98723444572162e-221	Spis-LOC111333716	Spis
0	5.81512980358379	0.452	0.012	0	Spis-LOC111326826	Spis
0	5.80928668056661	0.294	0.004	0	Spis-XP-022800460-1	Spis
0	5.78865378172615	0.34	0.004	0	Spis-XP-022798909-1	Spis
5.61320591153428e-226	5.74442363199096	0.113	0.003	2.79262607304742e-221	Spis-XP-022792119-1	Spis
2.30597551646253e-216	5.58782265177881	0.122	0.004	1.14724587919527e-211	Spis-orphan-peak-6940	Spis
0	5.46717095859162	0.154	0.003	0	Spis-XP-022781571-1	Spis
0	5.37720387525651	0.262	0.007	0	Spis-XP-022791118-1	Spis
0	5.35808149384529	0.175	0.004	0	Spis-XP-022804686-1	Spis
2.99506242854147e-248	5.3562077246712	0.119	0.002	1.49007350882367e-243	Spis-orphan-peak-4204	Spis
2.24181044274672e-219	5.2969171038489	0.102	0.002	1.11532311337092e-214	Spis-LOC111336961	Spis
3.27700950841389e-279	5.27976586581549	0.151	0.004	1.63034500053099e-274	Spis-LOC111333153	Spis
2.63722064623604e-296	5.1748737623634	0.156	0.004	1.31204364370889e-291	Spis-orphan-peak-17133	Spis
0	5.17365020799329	0.275	0.005	0	Spis-XP-022786554-1	Spis
0	5.01898904001211	0.351	0.007	0	Spis-XP-022779168-1	Spis
0	4.96535230702641	0.224	0.009	0	Spis-XP-022807027-1	Spis
9.17519074983095e-222	4.92166908574094	0.108	0.002	4.5647491499484e-217	Spis-XP-022781301-1	Spis
5.79368969515511e-245	4.80093814875311	0.137	0.004	2.88241856023662e-240	Spis-XP-022804516-1	Spis
2.2611085557635e-264	4.76511079499163	0.191	0.009	1.1249241175779e-259	Spis-XP-022804087-1	Spis
0	4.76430035929212	0.291	0.008	0	Spis-XP-022779802-1	Spis
3.70472371977431e-268	4.71028342781091	0.172	0.007	1.84313709782492e-263	Spis-XP-022791772-1	Spis
6.07692042420709e-290	4.61722257204257	0.205	0.01	3.02332868024727e-285	Spis-XP-022801124-1	Spis
1.35628733569629e-303	4.61679765416013	0.17	0.005	6.74766512382263e-299	Spis-XP-022808090-1	Spis
2.05497884850204e-210	4.57322404391887	0.175	0.011	1.02237252691825e-205	Spis-XP-022804684-1	Spis
8.30851653657412e-234	4.54740461040809	0.141	0.005	4.13357006211099e-229	Spis-XP-022796983-1	Spis
0	4.53004850802417	0.335	0.018	0	Spis-XP-022800807-1	Spis
0	4.51400075572231	0.488	0.033	0	Spis-XP-022783223-1	Spis
5.02853583342992e-209	4.47496569523889	0.151	0.007	2.50174686248972e-204	Spis-XP-022789952-1	Spis
1.11680091623267e-267	4.45466431076976	0.127	0.002	5.55619623834916e-263	Spis-XP-022800534-1	Spis
0	4.45439225694888	0.31	0.008	0	Spis-XP-022786749-1	Spis
5.78496158379633e-188	4.42112104096215	0.126	0.005	2.87807623755451e-183	Spis-orphan-peak-11849	Spis
1.70345245635185e-270	4.36377660755891	0.199	0.01	8.47484631559611e-266	Spis-XP-022798726-1	Spis
2.21749350534605e-218	4.33683553441391	0.114	0.003	1.10322519384471e-213	Spis-XP-022787949-1	Spis
0	4.29895472839077	0.324	0.025	0	Spis-XP-022806020-1	Spis
0	4.26514038083473	0.415	0.021	0	Spis-XP-022787133-1	Spis
3.29305352207239e-201	4.15175052021371	0.149	0.007	1.63832705776624e-196	Spis-LOC111330752	Spis
5.09978440263259e-226	4.14226341684616	0.135	0.005	2.53719373815374e-221	Spis-XP-022784032-1	Spis
3.44875051176286e-158	4.12575300212718	0.145	0.01	1.71578786710714e-153	Spis-orphan-peak-4640	Spis
0	4.07472241663628	0.418	0.021	0	Spis-XP-022791446-1	Spis
7.23184098986983e-260	4.04181058832018	0.199	0.01	3.59791321087014e-255	Spis-XP-022784040-1	Spis
2.21230646724364e-115	4.03761788350324	0.116	0.009	1.10064459051838e-110	Spis-XP-022790413-1	Spis
5.67953759414804e-261	3.9990387708228	0.266	0.021	2.82562674846459e-256	Spis-XP-022783340-1	Spis
4.98859165644096e-211	3.94645388030916	0.218	0.018	2.48187423499594e-206	Spis-XP-022802669-1	Spis
1.35725661046753e-238	3.93482107384783	0.18	0.009	6.75248736273702e-234	Spis-XP-022782116-1	Spis
1.7961979659246e-128	3.91569890863522	0.107	0.006	8.93626450027146e-124	Spis-LOC111335659	Spis
0	3.90186637091048	0.485	0.046	0	Spis-XP-022788233-1	Spis
2.30361658206991e-229	3.85935035723526	0.156	0.007	1.1460722857456e-224	Spis-XP-022779813-1	Spis
0	3.85110739473266	0.374	0.031	0	Spis-XP-022805385-1	Spis
1.34098187665544e-237	3.77603467480939	0.246	0.02	6.67151893454846e-233	Spis-XP-022780524-1	Spis
4.06680907435025e-193	3.75841916541919	0.13	0.006	2.02327818257999e-188	Spis-XP-022798114-1	Spis
